t      ,A11      ,A12     ,A21      ,A22      ,B11      ,B21
 0.202 ,-11.5013 ,76.4364 ,-76.4364 ,-11.5013 ,0.983788 ,1.91609
 0.204 ,-11.5012 ,76.4358 ,-76.4358 ,-11.5012 ,0.983716 ,1.91608
 0.206 ,-11.5011 ,76.4351 ,-76.4351 ,-11.5011 ,0.983657 ,1.91607
 0.208 ,-11.5011 ,76.4345 ,-76.4345 ,-11.5011 ,0.983612 ,1.91607
 0.21  ,-11.501  ,76.4339 ,-76.4339 ,-11.501  ,0.983581 ,1.91608
 0.212 ,-11.5009 ,76.4333 ,-76.4333 ,-11.5009 ,0.983568 ,1.9161
 0.214 ,-11.5008 ,76.4327 ,-76.4327 ,-11.5008 ,0.983582 ,1.91614
 0.216 ,-11.5007 ,76.4322 ,-76.4322 ,-11.5007 ,0.983604 ,1.91618
 0.218 ,-11.5006 ,76.4316 ,-76.4316 ,-11.5006 ,0.983634 ,1.91622
 0.22  ,-11.5005 ,76.4311 ,-76.4311 ,-11.5005 ,0.983669 ,1.91625
 0.222 ,-11.5005 ,76.4306 ,-76.4306 ,-11.5005 ,0.98371  ,1.91629
 0.224 ,-11.5004 ,76.4301 ,-76.4301 ,-11.5004 ,0.983746 ,1.91631
 0.226 ,-11.5003 ,76.4295 ,-76.4295 ,-11.5003 ,0.983764 ,1.91632
 0.228 ,-11.5002 ,76.4291 ,-76.4291 ,-11.5002 ,0.983796 ,1.91635
 0.23  ,-11.5002 ,76.4286 ,-76.4286 ,-11.5002 ,0.983838 ,1.91639
 0.232 ,-11.5001 ,76.4281 ,-76.4281 ,-11.5001 ,0.983883 ,1.91642
 0.234 ,-11.5    ,76.4276 ,-76.4276 ,-11.5    ,0.983929 ,1.91645
 0.236 ,-11.5    ,76.4272 ,-76.4272 ,-11.5    ,0.983976 ,1.91647
 0.238 ,-11.4999 ,76.4268 ,-76.4268 ,-11.4999 ,0.984022 ,1.9165
 0.24  ,-11.4998 ,76.4263 ,-76.4263 ,-11.4998 ,0.984066 ,1.91651
 0.242 ,-11.4998 ,76.4259 ,-76.4259 ,-11.4998 ,0.984108 ,1.91653
 0.244 ,-11.4997 ,76.4255 ,-76.4255 ,-11.4997 ,0.984146 ,1.91654
 0.246 ,-11.4997 ,76.4251 ,-76.4251 ,-11.4997 ,0.984181 ,1.91654
 0.248 ,-11.4996 ,76.4247 ,-76.4247 ,-11.4996 ,0.98421  ,1.91655
 0.25  ,-11.4995 ,76.4243 ,-76.4243 ,-11.4995 ,0.984234 ,1.91654
 0.252 ,-11.4995 ,76.424  ,-76.424  ,-11.4995 ,0.984253 ,1.91654
 0.254 ,-11.4994 ,76.4236 ,-76.4236 ,-11.4994 ,0.984265 ,1.91653
 0.256 ,-11.4994 ,76.4232 ,-76.4232 ,-11.4994 ,0.984272 ,1.91651
 0.258 ,-11.4993 ,76.4229 ,-76.4229 ,-11.4993 ,0.984273 ,1.9165
 0.26  ,-11.4993 ,76.4226 ,-76.4226 ,-11.4993 ,0.984269 ,1.91648
 0.262 ,-11.4992 ,76.4222 ,-76.4222 ,-11.4992 ,0.984259 ,1.91646
 0.264 ,-11.4992 ,76.4219 ,-76.4219 ,-11.4992 ,0.984245 ,1.91644
 0.266 ,-11.4991 ,76.4216 ,-76.4216 ,-11.4991 ,0.984227 ,1.91642
 0.268 ,-11.4991 ,76.4213 ,-76.4213 ,-11.4991 ,0.984205 ,1.91639
 0.27  ,-11.499  ,76.421  ,-76.421  ,-11.499  ,0.98418  ,1.91637
 0.272 ,-11.499  ,76.4207 ,-76.4207 ,-11.499  ,0.984153 ,1.91635
 0.274 ,-11.499  ,76.4204 ,-76.4204 ,-11.499  ,0.984125 ,1.91633
 0.276 ,-11.4989 ,76.4201 ,-76.4201 ,-11.4989 ,0.984096 ,1.91632
 0.278 ,-11.4989 ,76.4198 ,-76.4198 ,-11.4989 ,0.984067 ,1.9163
 0.28  ,-11.4988 ,76.4196 ,-76.4196 ,-11.4988 ,0.984039 ,1.91629
 0.282 ,-11.4988 ,76.4193 ,-76.4193 ,-11.4988 ,0.984012 ,1.91628
 0.284 ,-11.4988 ,76.419  ,-76.419  ,-11.4988 ,0.983986 ,1.91627
 0.286 ,-11.4987 ,76.4188 ,-76.4188 ,-11.4987 ,0.983964 ,1.91626
 0.288 ,-11.4987 ,76.4185 ,-76.4185 ,-11.4987 ,0.983944 ,1.91626
 0.29  ,-11.4986 ,76.4183 ,-76.4183 ,-11.4986 ,0.983927 ,1.91626
 0.292 ,-11.4986 ,76.4181 ,-76.4181 ,-11.4986 ,0.983913 ,1.91626
 0.294 ,-11.4986 ,76.4178 ,-76.4178 ,-11.4986 ,0.983903 ,1.91627
 0.296 ,-11.4985 ,76.4176 ,-76.4176 ,-11.4985 ,0.983897 ,1.91628
 0.298 ,-11.4985 ,76.4174 ,-76.4174 ,-11.4985 ,0.983894 ,1.91629
 0.3   ,-11.4985 ,76.4172 ,-76.4172 ,-11.4985 ,0.983895 ,1.9163
 0.302 ,-11.4985 ,76.417  ,-76.417  ,-11.4985 ,0.983899 ,1.91631
 0.304 ,-11.4984 ,76.4167 ,-76.4167 ,-11.4984 ,0.983907 ,1.91632
 0.306 ,-11.4984 ,76.4165 ,-76.4165 ,-11.4984 ,0.983917 ,1.91633
 0.308 ,-11.4984 ,76.4164 ,-76.4164 ,-11.4984 ,0.983929 ,1.91635
 0.31  ,-11.4983 ,76.4162 ,-76.4162 ,-11.4983 ,0.983944 ,1.91636
 0.312 ,-11.4983 ,76.416  ,-76.416  ,-11.4983 ,0.98396  ,1.91638
 0.314 ,-11.4983 ,76.4158 ,-76.4158 ,-11.4983 ,0.983977 ,1.91639
 0.316 ,-11.4983 ,76.4156 ,-76.4156 ,-11.4983 ,0.983995 ,1.9164
 0.318 ,-11.4982 ,76.4154 ,-76.4154 ,-11.4982 ,0.984013 ,1.91641
 0.32  ,-11.4982 ,76.4153 ,-76.4153 ,-11.4982 ,0.984031 ,1.91642
 0.322 ,-11.4982 ,76.4151 ,-76.4151 ,-11.4982 ,0.984048 ,1.91643
 0.324 ,-11.4982 ,76.4149 ,-76.4149 ,-11.4982 ,0.984065 ,1.91643
 0.326 ,-11.4981 ,76.4148 ,-76.4148 ,-11.4981 ,0.98408  ,1.91644
 0.328 ,-11.4981 ,76.4146 ,-76.4146 ,-11.4981 ,0.984093 ,1.91644
 0.33  ,-11.4981 ,76.4145 ,-76.4145 ,-11.4981 ,0.984105 ,1.91644
 0.332 ,-11.4981 ,76.4143 ,-76.4143 ,-11.4981 ,0.984114 ,1.91644
 0.334 ,-11.498  ,76.4142 ,-76.4142 ,-11.498  ,0.984122 ,1.91644
 0.336 ,-11.498  ,76.414  ,-76.414  ,-11.498  ,0.984127 ,1.91643
 0.338 ,-11.498  ,76.4139 ,-76.4139 ,-11.498  ,0.98413  ,1.91643
 0.34  ,-11.498  ,76.4138 ,-76.4138 ,-11.498  ,0.984131 ,1.91642
 0.342 ,-11.498  ,76.4136 ,-76.4136 ,-11.498  ,0.984129 ,1.91641
 0.344 ,-11.4979 ,76.4135 ,-76.4135 ,-11.4979 ,0.984126 ,1.91641
 0.346 ,-11.4979 ,76.4134 ,-76.4134 ,-11.4979 ,0.98412  ,1.9164
 0.348 ,-11.4979 ,76.4133 ,-76.4133 ,-11.4979 ,0.984113 ,1.91639
 0.35  ,-11.4979 ,76.4131 ,-76.4131 ,-11.4979 ,0.984105 ,1.91638
 0.352 ,-11.4979 ,76.413  ,-76.413  ,-11.4979 ,0.984096 ,1.91637
 0.354 ,-11.4978 ,76.4129 ,-76.4129 ,-11.4978 ,0.984085 ,1.91636
 0.356 ,-11.4978 ,76.4128 ,-76.4128 ,-11.4978 ,0.984074 ,1.91636
 0.358 ,-11.4978 ,76.4127 ,-76.4127 ,-11.4978 ,0.984063 ,1.91635
 0.36  ,-11.4978 ,76.4126 ,-76.4126 ,-11.4978 ,0.984052 ,1.91634
 0.362 ,-11.4978 ,76.4125 ,-76.4125 ,-11.4978 ,0.984041 ,1.91634
 0.364 ,-11.4978 ,76.4124 ,-76.4124 ,-11.4978 ,0.98403  ,1.91633
 0.366 ,-11.4978 ,76.4123 ,-76.4123 ,-11.4978 ,0.98402  ,1.91633
 0.368 ,-11.4977 ,76.4122 ,-76.4122 ,-11.4977 ,0.984011 ,1.91633
 0.37  ,-11.4977 ,76.4121 ,-76.4121 ,-11.4977 ,0.984003 ,1.91633
 0.372 ,-11.4977 ,76.412  ,-76.412  ,-11.4977 ,0.983997 ,1.91633
 0.374 ,-11.4977 ,76.4119 ,-76.4119 ,-11.4977 ,0.983991 ,1.91633
 0.376 ,-11.4977 ,76.4118 ,-76.4118 ,-11.4977 ,0.983987 ,1.91633
 0.378 ,-11.4977 ,76.4117 ,-76.4117 ,-11.4977 ,0.983985 ,1.91633
 0.38  ,-11.4977 ,76.4116 ,-76.4116 ,-11.4977 ,0.983984 ,1.91634
 0.382 ,-11.4976 ,76.4115 ,-76.4115 ,-11.4976 ,0.983984 ,1.91634
 0.384 ,-11.4976 ,76.4115 ,-76.4115 ,-11.4976 ,0.983985 ,1.91635
 0.386 ,-11.4976 ,76.4114 ,-76.4114 ,-11.4976 ,0.983988 ,1.91635
 0.388 ,-11.4976 ,76.4113 ,-76.4113 ,-11.4976 ,0.983992 ,1.91636
 0.39  ,-11.4976 ,76.4112 ,-76.4112 ,-11.4976 ,0.983996 ,1.91636
 0.392 ,-11.4976 ,76.4111 ,-76.4111 ,-11.4976 ,0.984002 ,1.91637
 0.394 ,-11.4976 ,76.4111 ,-76.4111 ,-11.4976 ,0.984008 ,1.91637
 0.396 ,-11.4976 ,76.411  ,-76.411  ,-11.4976 ,0.984015 ,1.91638
 0.398 ,-11.4976 ,76.4109 ,-76.4109 ,-11.4976 ,0.984022 ,1.91638
 0.4   ,-11.4975 ,76.4109 ,-76.4109 ,-11.4975 ,0.984029 ,1.91639
 0.402 ,-11.4975 ,76.4108 ,-76.4108 ,-11.4975 ,0.984036 ,1.91639
 0.404 ,-11.4975 ,76.4107 ,-76.4107 ,-11.4975 ,0.984042 ,1.91639
 0.406 ,-11.4975 ,76.4107 ,-76.4107 ,-11.4975 ,0.984049 ,1.91639
 0.408 ,-11.4975 ,76.4106 ,-76.4106 ,-11.4975 ,0.984055 ,1.9164
 0.41  ,-11.4975 ,76.4105 ,-76.4105 ,-11.4975 ,0.98406  ,1.9164
 0.412 ,-11.4975 ,76.4105 ,-76.4105 ,-11.4975 ,0.984065 ,1.9164
 0.414 ,-11.4975 ,76.4104 ,-76.4104 ,-11.4975 ,0.984068 ,1.9164
 0.416 ,-11.4975 ,76.4104 ,-76.4104 ,-11.4975 ,0.984071 ,1.9164
 0.418 ,-11.4975 ,76.4103 ,-76.4103 ,-11.4975 ,0.984074 ,1.91639
 0.42  ,-11.4975 ,76.4103 ,-76.4103 ,-11.4975 ,0.984075 ,1.91639
 0.422 ,-11.4975 ,76.4102 ,-76.4102 ,-11.4975 ,0.984075 ,1.91639
 0.424 ,-11.4974 ,76.4102 ,-76.4102 ,-11.4974 ,0.984075 ,1.91639
 0.426 ,-11.4974 ,76.4101 ,-76.4101 ,-11.4974 ,0.984073 ,1.91638
 0.428 ,-11.4974 ,76.4101 ,-76.4101 ,-11.4974 ,0.984071 ,1.91638
 0.43  ,-11.4974 ,76.41   ,-76.41   ,-11.4974 ,0.984069 ,1.91638
 0.432 ,-11.4974 ,76.41   ,-76.41   ,-11.4974 ,0.984066 ,1.91637
 0.434 ,-11.4974 ,76.4099 ,-76.4099 ,-11.4974 ,0.984062 ,1.91637
 0.436 ,-11.4974 ,76.4099 ,-76.4099 ,-11.4974 ,0.984058 ,1.91637
 0.438 ,-11.4974 ,76.4098 ,-76.4098 ,-11.4974 ,0.984054 ,1.91637
 0.44  ,-11.4974 ,76.4098 ,-76.4098 ,-11.4974 ,0.984049 ,1.91636
 0.442 ,-11.4974 ,76.4097 ,-76.4097 ,-11.4974 ,0.984045 ,1.91636
 0.444 ,-11.4974 ,76.4097 ,-76.4097 ,-11.4974 ,0.984041 ,1.91636
 0.446 ,-11.4974 ,76.4097 ,-76.4097 ,-11.4974 ,0.984037 ,1.91636
 0.448 ,-11.4974 ,76.4096 ,-76.4096 ,-11.4974 ,0.984033 ,1.91636
 0.45  ,-11.4974 ,76.4096 ,-76.4096 ,-11.4974 ,0.984029 ,1.91635
 0.452 ,-11.4974 ,76.4095 ,-76.4095 ,-11.4974 ,0.984026 ,1.91635
 0.454 ,-11.4973 ,76.4095 ,-76.4095 ,-11.4973 ,0.984023 ,1.91635
 0.456 ,-11.4973 ,76.4095 ,-76.4095 ,-11.4973 ,0.984021 ,1.91635
 0.458 ,-11.4973 ,76.4094 ,-76.4094 ,-11.4973 ,0.98402  ,1.91636
 0.46  ,-11.4973 ,76.4094 ,-76.4094 ,-11.4973 ,0.984019 ,1.91636
 0.462 ,-11.4973 ,76.4094 ,-76.4094 ,-11.4973 ,0.984018 ,1.91636
 0.464 ,-11.4973 ,76.4093 ,-76.4093 ,-11.4973 ,0.984018 ,1.91636
 0.466 ,-11.4973 ,76.4093 ,-76.4093 ,-11.4973 ,0.984019 ,1.91636
 0.468 ,-11.4973 ,76.4093 ,-76.4093 ,-11.4973 ,0.98402  ,1.91636
 0.47  ,-11.4973 ,76.4092 ,-76.4092 ,-11.4973 ,0.984021 ,1.91636
 0.472 ,-11.4973 ,76.4092 ,-76.4092 ,-11.4973 ,0.984023 ,1.91637
 0.474 ,-11.4973 ,76.4092 ,-76.4092 ,-11.4973 ,0.984025 ,1.91637
 0.476 ,-11.4973 ,76.4092 ,-76.4092 ,-11.4973 ,0.984027 ,1.91637
 0.478 ,-11.4973 ,76.4091 ,-76.4091 ,-11.4973 ,0.98403  ,1.91637
 0.48  ,-11.4973 ,76.4091 ,-76.4091 ,-11.4973 ,0.984033 ,1.91637
 0.482 ,-11.4973 ,76.4091 ,-76.4091 ,-11.4973 ,0.984035 ,1.91638
 0.484 ,-11.4973 ,76.409  ,-76.409  ,-11.4973 ,0.984038 ,1.91638
 0.486 ,-11.4973 ,76.409  ,-76.409  ,-11.4973 ,0.984041 ,1.91638
 0.488 ,-11.4973 ,76.409  ,-76.409  ,-11.4973 ,0.984043 ,1.91638
 0.49  ,-11.4973 ,76.409  ,-76.409  ,-11.4973 ,0.984045 ,1.91638
 0.492 ,-11.4973 ,76.409  ,-76.409  ,-11.4973 ,0.984047 ,1.91638
 0.494 ,-11.4973 ,76.4089 ,-76.4089 ,-11.4973 ,0.984049 ,1.91638
 0.496 ,-11.4973 ,76.4089 ,-76.4089 ,-11.4973 ,0.984051 ,1.91638
 0.498 ,-11.4973 ,76.4089 ,-76.4089 ,-11.4973 ,0.984052 ,1.91638
 0.5   ,-11.4973 ,76.4089 ,-76.4089 ,-11.4973 ,0.984053 ,1.91638
 0.502 ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984053 ,1.91638
 0.504 ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984054 ,1.91638
 0.506 ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984053 ,1.91638
 0.508 ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984053 ,1.91638
 0.51  ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984052 ,1.91637
 0.512 ,-11.4972 ,76.4088 ,-76.4088 ,-11.4972 ,0.984051 ,1.91637
 0.514 ,-11.4972 ,76.4087 ,-76.4087 ,-11.4972 ,0.98405  ,1.91637
 0.516 ,-11.4972 ,76.4087 ,-76.4087 ,-11.4972 ,0.984049 ,1.91637
 0.518 ,-11.4972 ,76.4087 ,-76.4087 ,-11.4972 ,0.984047 ,1.91637
 0.52  ,-11.4972 ,76.4087 ,-76.4087 ,-11.4972 ,0.984046 ,1.91637
 0.522 ,-11.4972 ,76.4087 ,-76.4087 ,-11.4972 ,0.984044 ,1.91637
 0.524 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984042 ,1.91637
 0.526 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.98404  ,1.91637
 0.528 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984039 ,1.91637
 0.53  ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984037 ,1.91636
 0.532 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984036 ,1.91636
 0.534 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984035 ,1.91636
 0.536 ,-11.4972 ,76.4086 ,-76.4086 ,-11.4972 ,0.984034 ,1.91636
 0.538 ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984033 ,1.91636
 0.54  ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984032 ,1.91636
 0.542 ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984032 ,1.91637
 0.544 ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984031 ,1.91637
 0.546 ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984031 ,1.91637
 0.548 ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984032 ,1.91637
 0.55  ,-11.4972 ,76.4085 ,-76.4085 ,-11.4972 ,0.984032 ,1.91637
 0.552 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984033 ,1.91637
 0.554 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984033 ,1.91637
 0.556 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984034 ,1.91637
 0.558 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984035 ,1.91637
 0.56  ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984036 ,1.91637
 0.562 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984037 ,1.91637
 0.564 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984038 ,1.91637
 0.566 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984039 ,1.91637
 0.568 ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.98404  ,1.91637
 0.57  ,-11.4972 ,76.4084 ,-76.4084 ,-11.4972 ,0.984041 ,1.91637
 0.572 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984042 ,1.91637
 0.574 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984043 ,1.91637
 0.576 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984043 ,1.91637
 0.578 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984044 ,1.91637
 0.58  ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.582 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.584 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.586 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.588 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.59  ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.592 ,-11.4972 ,76.4083 ,-76.4083 ,-11.4972 ,0.984045 ,1.91637
 0.594 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984044 ,1.91637
 0.596 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984044 ,1.91637
 0.598 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984043 ,1.91637
 0.6   ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984043 ,1.91637
 0.602 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984042 ,1.91637
 0.604 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984041 ,1.91637
 0.606 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984041 ,1.91637
 0.608 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.98404  ,1.91637
 0.61  ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984039 ,1.91637
 0.612 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984039 ,1.91637
 0.614 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984038 ,1.91637
 0.616 ,-11.4972 ,76.4082 ,-76.4082 ,-11.4972 ,0.984038 ,1.91637
 0.618 ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.62  ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.622 ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.624 ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.626 ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.628 ,-11.4971 ,76.4082 ,-76.4082 ,-11.4971 ,0.984037 ,1.91637
 0.63  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984037 ,1.91637
 0.632 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984037 ,1.91637
 0.634 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984037 ,1.91637
 0.636 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984037 ,1.91637
 0.638 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984038 ,1.91637
 0.64  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984038 ,1.91637
 0.642 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984038 ,1.91637
 0.644 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984039 ,1.91637
 0.646 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984039 ,1.91637
 0.648 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984039 ,1.91637
 0.65  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.98404  ,1.91637
 0.652 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.98404  ,1.91637
 0.654 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.656 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.658 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.66  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.662 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.664 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.666 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.668 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.67  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.672 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.674 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.676 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.678 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984042 ,1.91637
 0.68  ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.682 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.684 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.984041 ,1.91637
 0.686 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.98404  ,1.91637
 0.688 ,-11.4971 ,76.4081 ,-76.4081 ,-11.4971 ,0.98404  ,1.91637
 0.69  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.692 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.694 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.696 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.698 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.7   ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.702 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.704 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.706 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.708 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.71  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.712 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.714 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.716 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.718 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.72  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.722 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.724 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.726 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984039 ,1.91637
 0.728 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.73  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.732 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.734 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.736 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.738 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.74  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.742 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.744 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.746 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.748 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.75  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.752 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.754 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.756 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.758 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.984041 ,1.91637
 0.76  ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
 0.762 ,-11.4971 ,76.408  ,-76.408  ,-11.4971 ,0.98404  ,1.91637
