t,u,pred_p_x,pred_p_y,pred_p_z,pred_v_x,pred_v_y,pred_v_z,p_x,p_y,p_z,v_x,v_y,v_z
6.734,0.191055,-2.85644,0,54.2525,-17.5094,0,-1.10986,-3.30696,0,54.2367,-17.2197,0,-1.3543
6.736,0.196413,-2.89165,0,54.2498,-17.6119,0,-1.11218,-3.34172,0,54.2339,-17.3183,0,-1.36516
6.738,0.201801,-2.92704,0,54.247,-17.7142,0,-1.11438,-3.37668,0,54.2311,-17.4143,0,-1.40323
6.74,0.207219,-2.96261,0,54.2441,-17.8162,0,-1.11646,-3.41182,0,54.2283,-17.5122,0,-1.40781
6.742,0.212666,-2.99837,0,54.2413,-17.9178,0,-1.11859,-3.44716,0,54.2254,-17.6063,0,-1.45188
6.744,0.218142,-3.03431,0,54.2385,-18.0193,0,-1.12067,-3.48269,0,54.2225,-17.7034,0,-1.45255
6.746,0.223647,-3.07043,0,54.2356,-18.1207,0,-1.12274,-3.51842,0,54.2195,-17.7959,0,-1.49991
6.748,0.229182,-3.10672,0,54.2327,-18.222,0,-1.12476,-3.55432,0,54.2165,-17.8919,0,-1.4996
6.75,0.234745,-3.14321,0,54.2299,-18.323,0,-1.12671,-3.59042,0,54.2135,-17.9829,0,-1.54719
6.752,0.240336,-3.17986,0,54.227,-18.424,0,-1.1286,-3.6267,0,54.2103,-18.0775,0,-1.54897
6.754,0.245956,-3.21669,0,54.224,-18.5244,0,-1.13049,-3.66317,0,54.2072,-18.1673,0,-1.59376
6.756,0.251605,-3.25369,0,54.2211,-18.6248,0,-1.13232,-3.69981,0,54.204,-18.2602,0,-1.60051
6.758,0.257281,-3.29087,0,54.2182,-18.7247,0,-1.13409,-3.73664,0,54.2007,-18.3491,0,-1.63989
6.76,0.262985,-3.32822,0,54.2152,-18.8244,0,-1.1358,-3.77365,0,54.1974,-18.4401,0,-1.65384
6.762,0.268716,-3.36574,0,54.2122,-18.9236,0,-1.13757,-3.81084,0,54.194,-18.5283,0,-1.68598
6.764,0.274475,-3.40343,0,54.2093,-19.0223,0,-1.13916,-3.84821,0,54.1906,-18.6172,0,-1.70847
6.766,0.280261,-3.44129,0,54.2063,-19.1207,0,-1.14081,-3.88575,0,54.1872,-18.7048,0,-1.73254
6.768,0.286074,-3.47931,0,54.2033,-19.2186,0,-1.14227,-3.92346,0,54.1836,-18.7915,0,-1.76385
6.77,0.291914,-3.51749,0,54.2003,-19.3159,0,-1.14374,-3.96135,0,54.1801,-18.8785,0,-1.78013
6.772,0.297781,-3.55584,0,54.1972,-19.4127,0,-1.14508,-3.99941,0,54.1765,-18.9631,0,-1.81943
6.774,0.303674,-3.59435,0,54.1942,-19.5092,0,-1.14648,-4.03765,0,54.1728,-19.0495,0,-1.82925
6.776,0.309593,-3.63301,0,54.1911,-19.6049,0,-1.14783,-4.07605,0,54.1691,-19.1319,0,-1.87471
6.778,0.315538,-3.67183,0,54.1881,-19.7001,0,-1.14905,-4.11461,0,54.1653,-19.2176,0,-1.88029
6.78,0.32151,-3.7108,0,54.185,-19.7949,0,-1.15021,-4.15335,0,54.1615,-19.2982,0,-1.92936
6.782,0.327506,-3.74993,0,54.1819,-19.8891,0,-1.15131,-4.19225,0,54.1576,-19.3828,0,-1.93349
6.784,0.333528,-3.7892,0,54.1788,-19.983,0,-1.1524,-4.23131,0,54.1536,-19.4618,0,-1.98321
6.786,0.339576,-3.82862,0,54.1757,-20.0761,0,-1.15338,-4.27054,0,54.1496,-19.545,0,-1.9889
6.788,0.345648,-3.86819,0,54.1726,-20.1691,0,-1.15436,-4.30992,0,54.1456,-19.6228,0,-2.03629
6.79,0.351745,-3.90791,0,54.1694,-20.2614,0,-1.15527,-4.34947,0,54.1415,-19.7043,0,-2.04635
6.792,0.357867,-3.94777,0,54.1663,-20.3535,0,-1.15619,-4.38917,0,54.1373,-19.7811,0,-2.08882
6.794,0.364013,-3.98776,0,54.1631,-20.4452,0,-1.15686,-4.42903,0,54.1331,-19.8606,0,-2.10552
6.796,0.370183,-4.0279,0,54.16,-20.5364,0,-1.15771,-4.46904,0,54.1288,-19.9367,0,-2.14116
6.798,0.376377,-4.06817,0,54.1568,-20.6273,0,-1.15845,-4.50921,0,54.1245,-20.014,0,-2.16592
6.8,0.382595,-4.10858,0,54.1536,-20.7181,0,-1.15912,-4.54953,0,54.1201,-20.0895,0,-2.19381
6.802,0.388837,-4.14912,0,54.1504,-20.8085,0,-1.15979,-4.59,0,54.1157,-20.1644,0,-2.22703
6.804,0.395102,-4.1898,0,54.1472,-20.8987,0,-1.1604,-4.63062,0,54.1112,-20.2394,0,-2.24729
6.806,0.40139,-4.23061,0,54.144,-20.9886,0,-1.16107,-4.67139,0,54.1066,-20.3118,0,-2.28828
6.808,0.407701,-4.27155,0,54.1407,-21.0785,0,-1.16162,-4.7123,0,54.102,-20.3863,0,-2.30207
6.81,0.414034,-4.3125,0,54.1374,-21.1762,0,-1.16284,-4.75336,0,54.0973,-20.4564,0,-2.3492
6.812,0.42039,-4.35342,0,54.134,-21.286,0,-1.16516,-4.79456,0,54.0926,-20.53,0,-2.35854
6.814,0.426768,-4.39445,0,54.1305,-21.3956,0,-1.16748,-4.83591,0,54.0878,-20.598,0,-2.40941
6.816,0.433169,-4.43562,0,54.127,-21.5051,0,-1.16974,-4.87739,0,54.083,-20.6705,0,-2.41695
6.818,0.439591,-4.47691,0,54.1235,-21.6146,0,-1.17206,-4.91901,0,54.0781,-20.7368,0,-2.46874
6.82,0.446034,-4.51831,0,54.12,-21.7241,0,-1.17426,-4.96077,0,54.0731,-20.8078,0,-2.47735
6.822,0.4525,-4.55983,0,54.1165,-21.8333,0,-1.17645,-5.00267,0,54.0681,-20.8726,0,-2.52717
6.824,0.458986,-4.60104,0,54.1129,-21.9421,0,-1.17957,-5.0447,0,54.063,-20.9418,0,-2.53961
6.826,0.465493,-4.63992,0,54.1088,-22.0347,0,-1.19,-5.08686,0,54.0578,-21.0054,0,-2.58488
6.828,0.472021,-4.68172,0,54.1033,-22.0536,0,-1.21625,-5.12915,0,54.0526,-21.0724,0,-2.60341
6.83,0.478569,-4.72459,0,54.0972,-22.0537,0,-1.29358,-5.17157,0,54.0473,-21.1352,0,-2.64221
6.832,0.485138,-4.76757,0,54.0911,-22.0532,0,-1.37091,-5.21412,0,54.042,-21.1997,0,-2.66833
6.834,0.491726,-4.81064,0,54.085,-22.0521,0,-1.4483,-5.25679,0,54.0366,-21.2619,0,-2.69959
6.836,0.498335,-4.85382,0,54.0789,-22.0506,0,-1.52588,-5.29959,0,54.0311,-21.3238,0,-2.73383
6.838,0.504962,-4.89709,0,54.0728,-22.0488,0,-1.60364,-5.34252,0,54.0256,-21.3855,0,-2.75753
6.84,0.51161,-4.94046,0,54.0666,-22.0468,0,-1.68152,-5.38556,0,54.02,-21.4446,0,-2.79939
6.842,0.518276,-4.98391,0,54.0604,-22.0449,0,-1.75952,-5.42872,0,54.0144,-21.5057,0,-2.81648
6.844,0.524961,-5.02747,0,54.0543,-22.0435,0,-1.83783,-5.472,0,54.0087,-21.5623,0,-2.86452
6.846,0.531665,-5.07113,0,54.0481,-22.043,0,-1.91644,-5.5154,0,54.0029,-21.6227,0,-2.87683
6.848,0.538388,-5.11489,0,54.0419,-22.0431,0,-1.99524,-5.55891,0,53.9971,-21.6769,0,-2.92887
6.85,0.545128,-5.15875,0,54.0356,-22.044,0,-2.07428,-5.60253,0,53.9912,-21.7362,0,-2.93882
6.852,0.551887,-5.20272,0,54.0294,-22.0453,0,-2.15363,-5.64627,0,53.9852,-21.7884,0,-2.99221
6.854,0.558663,-5.24679,0,54.0231,-22.0473,0,-2.23322,-5.69011,0,53.9792,-21.8463,0,-3.00254
6.856,0.565457,-5.29099,0,54.0169,-22.051,0,-2.31323,-5.73407,0,53.9731,-21.8969,0,-3.05452
6.858,0.572268,-5.3353,0,54.0106,-22.056,0,-2.39349,-5.77813,0,53.967,-21.9529,0,-3.06788
6.86,0.579096,-5.37975,0,54.0043,-22.0616,0,-2.47418,-5.82229,0,53.9607,-22.0023,0,-3.11593
6.862,0.585941,-5.42431,0,53.9979,-22.0677,0,-2.55505,-5.86656,0,53.9545,-22.056,0,-3.13458
6.864,0.592802,-5.46901,0,53.9916,-22.0732,0,-2.63611,-5.91093,0,53.9481,-22.1045,0,-3.17673
6.866,0.59968,-5.51393,0,53.9852,-22.0593,0,-2.72162,-5.9554,0,53.9417,-22.1557,0,-3.20222
6.868,0.606573,-5.55899,0,53.9788,-22.0402,0,-2.80823,-5.99997,0,53.9352,-22.2036,0,-3.23732
6.87,0.613483,-5.6042,0,53.9724,-22.0209,0,-2.89508,-6.04463,0,53.9287,-22.252,0,-3.27034
6.872,0.620408,-5.64955,0,53.966,-22.0005,0,-2.98206,-6.08939,0,53.9221,-22.2995,0,-3.29815
6.874,0.627349,-5.69503,0,53.9596,-21.9789,0,-3.06909,-6.13424,0,53.9154,-22.345,0,-3.3384
6.876,0.634304,-5.73953,0,53.9532,-21.9792,0,-3.13147,-6.17919,0,53.9087,-22.392,0,-3.35966
6.878,0.641275,-5.78265,0,53.947,-22.0096,0,-3.16052,-6.22422,0,53.9019,-22.4348,0,-3.40596
6.88,0.64826,-5.82589,0,53.9407,-22.0374,0,-3.18915,-6.26935,0,53.8951,-22.481,0,-3.42223
6.882,0.655259,-5.86923,0,53.9344,-22.062,0,-3.21735,-6.31456,0,53.8881,-22.5213,0,-3.47264
6.884,0.662273,-5.91267,0,53.9282,-22.0834,0,-3.24518,-6.35985,0,53.8811,-22.5665,0,-3.48609
6.886,0.6693,-5.95621,0,53.9219,-22.1011,0,-3.2724,-6.40523,0,53.8741,-22.6047,0,-3.5382
6.888,0.676342,-5.99983,0,53.9156,-22.1153,0,-3.29901,-6.45069,0,53.867,-22.6485,0,-3.55136
6.89,0.683396,-6.04352,0,53.9092,-22.1259,0,-3.3252,-6.49622,0,53.8598,-22.6848,0,-3.60257
6.892,0.690464,-6.0873,0,53.9029,-22.1339,0,-3.35095,-6.54184,0,53.8525,-22.7268,0,-3.61795
6.894,0.697545,-6.1312,0,53.8966,-22.1423,0,-3.37683,-6.58754,0,53.8452,-22.7618,0,-3.66584
6.896,0.704638,-6.17525,0,53.8902,-22.1543,0,-3.40344,-6.6333,0,53.8378,-22.8015,0,-3.68564
6.898,0.711744,-6.21948,0,53.8838,-22.1685,0,-3.43048,-6.67914,0,53.8304,-22.8356,0,-3.72826
6.9,0.718862,-6.26387,0,53.8774,-22.184,0,-3.45789,-6.72506,0,53.8229,-22.8726,0,-3.75407
6.902,0.725992,-6.30843,0,53.8709,-22.1996,0,-3.48529,-6.77104,0,53.8153,-22.906,0,-3.79015
6.904,0.733133,-6.35531,0,53.8638,-22.2447,0,-3.50128,-6.81709,0,53.8076,-22.9402,0,-3.8228
6.906,0.740287,-6.40338,0,53.8563,-22.3024,0,-3.51147,-6.8632,0,53.7999,-22.973,0,-3.85194
6.908,0.747451,-6.4516,0,53.8488,-22.3574,0,-3.52136,-6.90938,0,53.7921,-23.0042,0,-3.89134
6.91,0.754626,-6.49995,0,53.8412,-22.4092,0,-3.53064,-6.95563,0,53.7843,-23.0366,0,-3.91403
6.912,0.761812,-6.54844,0,53.8337,-22.4576,0,-3.53949,-7.00193,0,53.7764,-23.0649,0,-3.95926
6.914,0.769008,-6.59706,0,53.8261,-22.5027,0,-3.54767,-7.04829,0,53.7684,-23.0966,0,-3.97677
6.916,0.776215,-6.6458,0,53.8185,-22.5451,0,-3.55548,-7.09471,0,53.7604,-23.1222,0,-4.02618
6.918,0.783431,-6.69525,0,53.8106,-22.571,0,-3.55127,-7.14119,0,53.7523,-23.153,0,-4.04041
6.92,0.790657,-6.7449,0,53.8024,-22.589,0,-3.54614,-7.18772,0,53.7441,-23.1762,0,-4.09185
6.922,0.797893,-6.79463,0,53.7941,-22.6022,0,-3.54132,-7.2343,0,53.7359,-23.2056,0,-4.10507
6.924,0.805137,-6.84443,0,53.7858,-22.6118,0,-3.53589,-7.28093,0,53.7276,-23.2269,0,-4.15617
6.926,0.812391,-6.8943,0,53.7775,-22.6181,0,-3.52991,-7.32761,0,53.7192,-23.2546,0,-4.17072
6.928,0.819653,-6.94423,0,53.7692,-22.6212,0,-3.52325,-7.37434,0,53.7108,-23.2743,0,-4.21918
6.93,0.826924,-6.99421,0,53.7609,-22.6213,0,-3.51611,-7.42111,0,53.7023,-23.2998,0,-4.23717
6.932,0.834203,-7.04197,0,53.7525,-22.6166,0,-3.50867,-7.46793,0,53.6938,-23.3185,0,-4.28106
6.934,0.84149,-7.08924,0,53.744,-22.6089,0,-3.50104,-7.51479,0,53.6851,-23.3414,0,-4.30413
6.936,0.848784,-7.13652,0,53.7355,-22.5989,0,-3.49292,-7.56169,0,53.6765,-23.3593,0,-4.34211
6.938,0.856086,-7.18381,0,53.7269,-22.5872,0,-3.48444,-7.60862,0,53.6677,-23.3793,0,-4.3712
6.94,0.863395,-7.2311,0,53.7184,-22.5742,0,-3.47571,-7.6556,0,53.6589,-23.3968,0,-4.40268
6.942,0.870711,-7.27838,0,53.7099,-22.5603,0,-3.46692,-7.7026,0,53.65,-23.4137,0,-4.43796
6.944,0.878033,-7.32566,0,53.7014,-22.5466,0,-3.45807,-7.74964,0,53.6411,-23.4307,0,-4.46313
6.946,0.885362,-7.37294,0,53.6929,-22.5331,0,-3.44934,-7.79671,0,53.6321,-23.4447,0,-4.50397
6.948,0.892697,-7.42022,0,53.6844,-22.5207,0,-3.4408,-7.84381,0,53.623,-23.4611,0,-4.52381
6.95,0.900038,-7.46751,0,53.6759,-22.5096,0,-3.43243,-7.89094,0,53.6139,-23.4722,0,-4.56889
6.952,0.907384,-7.5148,0,53.6674,-22.5001,0,-3.42432,-7.9381,0,53.6047,-23.4878,0,-4.58496
6.954,0.914736,-7.56209,0,53.6589,-22.4926,0,-3.41663,-7.98527,0,53.5954,-23.4964,0,-4.63244
6.956,0.922093,-7.6084,0,53.6504,-22.4849,0,-3.41522,-8.03248,0,53.5861,-23.5109,0,-4.64671
6.958,0.929455,-7.65456,0,53.6419,-22.4802,0,-3.41547,-8.0797,0,53.5767,-23.5174,0,-4.6945
6.96,0.936821,-7.70076,0,53.6334,-22.4789,0,-3.41626,-8.12694,0,53.5673,-23.5302,0,-4.70908
6.962,0.944192,-7.747,0,53.6249,-22.4811,0,-3.41766,-8.17419,0,53.5578,-23.535,0,-4.75506
6.964,0.951566,-7.79328,0,53.6164,-22.4862,0,-3.41962,-8.22147,0,53.5482,-23.5458,0,-4.77193
6.966,0.958945,-7.8393,0,53.6077,-22.4843,0,-3.42896,-8.26875,0,53.5386,-23.5494,0,-4.81424
6.968,0.966327,-7.88526,0,53.599,-22.4808,0,-3.44122,-8.31605,0,53.5289,-23.5577,0,-4.83502
6.97,0.973712,-7.93128,0,53.5902,-22.4789,0,-3.45386,-8.36336,0,53.5192,-23.5605,0,-4.87227
6.972,0.981101,-7.97889,0,53.5808,-22.5527,0,-3.49585,-8.41068,0,53.5094,-23.566,0,-4.89802
6.974,0.988492,-8.02666,0,53.5713,-22.6309,0,-3.53949,-8.458,0,53.4995,-23.5682,0,-4.92944
6.976,0.995885,-8.07436,0,53.5615,-22.7207,0,-3.58923,-8.50533,0,53.4896,-23.5707,0,-4.96054
6.978,1.00328,-8.12207,0,53.5514,-22.8174,0,-3.64313,-8.55266,0,53.4796,-23.5724,0,-4.98608
6.98,1.01068,-8.16983,0,53.5413,-22.913,0,-3.69678,-8.59999,0,53.4695,-23.5718,0,-5.02221
6.982,1.01808,-8.21766,0,53.5312,-23.0071,0,-3.75031,-8.64733,0,53.4594,-23.573,0,-5.0425
6.984,1.02548,-8.26554,0,53.5211,-23.0992,0,-3.80347,-8.69466,0,53.4492,-23.5696,0,-5.08267
6.986,1.03288,-8.31349,0,53.511,-23.1888,0,-3.8562,-8.74198,0,53.439,-23.5701,0,-5.09892
6.988,1.04028,-8.36147,0,53.5008,-23.2756,0,-3.90839,-8.7893,0,53.4287,-23.564,0,-5.14167
6.99,1.04769,-8.40949,0,53.4907,-23.3593,0,-3.96014,-8.83662,0,53.4184,-23.5635,0,-5.15551
6.992,1.05509,-8.45755,0,53.4805,-23.4395,0,-4.01117,-8.88392,0,53.408,-23.5552,0,-5.19904
6.994,1.0625,-8.50563,0,53.4704,-23.5163,0,-4.06165,-8.93121,0,53.3976,-23.5532,0,-5.21231
6.996,1.0699,-8.55372,0,53.4602,-23.5894,0,-4.11145,-8.9785,0,53.3871,-23.5431,0,-5.25472
6.998,1.07731,-8.60183,0,53.4501,-23.6588,0,-4.16058,-9.02576,0,53.3765,-23.5392,0,-5.26923
7,1.08471,-8.64994,0,53.4399,-23.7247,0,-4.20911,-9.07301,0,53.3659,-23.5277,0,-5.3088
7.002,1.09211,-8.69828,0,53.4296,-23.7662,0,-4.24969,-9.12024,0,53.3552,-23.5215,0,-5.32611
7.004,1.09951,-8.74678,0,53.4191,-23.7896,0,-4.28442,-9.16746,0,53.3445,-23.5091,0,-5.36143
7.006,1.10691,-8.79526,0,53.4086,-23.8099,0,-4.31854,-9.21465,0,53.3337,-23.5002,0,-5.38267
7.008,1.11431,-8.84372,0,53.3982,-23.8275,0,-4.35223,-9.26182,0,53.3228,-23.4871,0,-5.41284
7.01,1.12171,-8.89215,0,53.3877,-23.8425,0,-4.38544,-9.30896,0,53.3119,-23.4754,0,-5.4386
7.012,1.1291,-8.94053,0,53.3773,-23.8555,0,-4.41821,-9.35608,0,53.301,-23.4617,0,-5.46332
7.014,1.13649,-8.98889,0,53.3668,-23.8667,0,-4.45056,-9.40317,0,53.29,-23.447,0,-5.49354
7.016,1.14388,-9.0372,0,53.3564,-23.8765,0,-4.48279,-9.45023,0,53.2789,-23.433,0,-5.51311
7.018,1.15127,-9.08547,0,53.346,-23.8854,0,-4.51465,-9.49726,0,53.2678,-23.4153,0,-5.5472
7.02,1.15865,-9.13369,0,53.3356,-23.8936,0,-4.54651,-9.54425,0,53.2567,-23.4007,0,-5.56247
7.022,1.16603,-9.18193,0,53.325,-23.879,0,-4.5871,-9.59121,0,53.2455,-23.3803,0,-5.59931
7.024,1.17341,-9.23022,0,53.314,-23.8254,0,-4.64319,-9.63814,0,53.2342,-23.3648,0,-5.61155
7.026,1.18078,-9.27689,0,53.303,-23.7604,0,-4.70837,-9.68502,0,53.2229,-23.3421,0,-5.64969
7.028,1.18815,-9.32142,0,53.2919,-23.68,0,-4.78583,-9.73186,0,53.2116,-23.3254,0,-5.66042
7.03,1.19551,-9.36591,0,53.2807,-23.6047,0,-4.86438,-9.77867,0,53.2002,-23.3007,0,-5.69824
7.032,1.20287,-9.41041,0,53.2696,-23.5388,0,-4.94476,-9.82543,0,53.1887,-23.2824,0,-5.70907
7.034,1.21022,-9.45493,0,53.2584,-23.4815,0,-5.02698,-9.87214,0,53.1772,-23.2561,0,-5.74499
7.036,1.21757,-9.49948,0,53.2473,-23.4321,0,-5.1109,-9.91881,0,53.1657,-23.2358,0,-5.75736
7.038,1.22491,-9.54407,0,53.2361,-23.3893,0,-5.19629,-9.96543,0,53.1541,-23.2084,0,-5.79003
7.04,1.23225,-9.58873,0,53.2249,-23.3522,0,-5.28296,-10.012,0,53.1424,-23.1857,0,-5.80512
7.042,1.23958,-9.63345,0,53.2137,-23.3192,0,-5.37073,-10.0585,0,53.1308,-23.1574,0,-5.83354
7.044,1.2469,-9.67717,0,53.2025,-23.2969,0,-5.45654,-10.105,0,53.119,-23.1321,0,-5.85207
7.046,1.25422,-9.72059,0,53.1913,-23.2789,0,-5.54187,-10.1514,0,53.1073,-23.1033,0,-5.87573
7.048,1.26153,-9.76409,0,53.1801,-23.261,0,-5.62744,-10.1977,0,53.0954,-23.0751,0,-5.89794
7.05,1.26883,-9.80767,0,53.1689,-23.2419,0,-5.71289,-10.244,0,53.0836,-23.0458,0,-5.91682
7.052,1.27613,-9.85131,0,53.1576,-23.2203,0,-5.79803,-10.2903,0,53.0717,-23.0149,0,-5.94244
7.054,1.28342,-9.89502,0,53.1463,-23.1952,0,-5.88245,-10.3364,0,53.0597,-22.985,0,-5.95704
7.056,1.2907,-9.93963,0,53.135,-23.1594,0,-5.94238,-10.3825,0,53.0478,-22.9514,0,-5.98533
7.058,1.29797,-9.98652,0,53.1234,-23.1029,0,-5.9397,-10.4286,0,53.0357,-22.9208,0,-5.99653
7.06,1.30524,-10.0335,0,53.1118,-23.0398,0,-5.93536,-10.4745,0,53.0237,-22.8847,0,-6.02642
7.062,1.31249,-10.0812,0,53.0997,-22.9963,0,-5.93982,-10.5205,0,53.0116,-22.8532,0,-6.03541
7.064,1.31974,-10.1294,0,53.0874,-22.9611,0,-5.94873,-10.5663,0,52.9994,-22.815,0,-6.06559
7.066,1.32698,-10.1776,0,53.0751,-22.9183,0,-5.95544,-10.6121,0,52.9872,-22.7822,0,-6.07369
7.068,1.33421,-10.2257,0,53.0628,-22.8677,0,-5.96027,-10.6577,0,52.975,-22.7422,0,-6.10281
7.07,1.34142,-10.2739,0,53.0506,-22.8093,0,-5.96283,-10.7034,0,52.9627,-22.7077,0,-6.11132
7.072,1.34863,-10.322,0,53.0383,-22.7436,0,-5.9635,-10.7489,0,52.9504,-22.6664,0,-6.13813
7.074,1.35583,-10.37,0,53.026,-22.6709,0,-5.9621,-10.7944,0,52.9381,-22.6298,0,-6.14816
7.076,1.36302,-10.4179,0,53.0138,-22.5918,0,-5.95911,-10.8397,0,52.9257,-22.5875,0,-6.17165
7.078,1.3702,-10.4658,0,53.0016,-22.5069,0,-5.95441,-10.885,0,52.9133,-22.5486,0,-6.18402
7.08,1.37736,-10.5135,0,52.9895,-22.4169,0,-5.9483,-10.9303,0,52.9009,-22.5056,0,-6.20353
7.082,1.38452,-10.5612,0,52.9773,-22.323,0,-5.94104,-10.9754,0,52.8884,-22.4641,0,-6.21868
7.084,1.39166,-10.6087,0,52.9653,-22.2253,0,-5.93286,-11.0204,0,52.8759,-22.4206,0,-6.23395
7.086,1.39879,-10.6561,0,52.9532,-22.1255,0,-5.92383,-11.0654,0,52.8634,-22.3764,0,-6.2519
7.088,1.40592,-10.7033,0,52.9412,-22.024,0,-5.91455,-11.1103,0,52.8509,-22.3324,0,-6.26311
7.09,1.41302,-10.7504,0,52.9292,-21.9219,0,-5.90485,-11.155,0,52.8383,-22.2857,0,-6.28347
7.092,1.42012,-10.7952,0,52.9172,-21.8146,0,-5.87372,-11.1997,0,52.8256,-22.2411,0,-6.29114
7.094,1.4272,-10.8392,0,52.9052,-21.7068,0,-5.8371,-11.2443,0,52.813,-22.1919,0,-6.31321
7.096,1.43427,-10.8831,0,52.8933,-21.6015,0,-5.80127,-11.2888,0,52.8003,-22.1465,0,-6.31817
7.098,1.44133,-10.9268,0,52.8814,-21.4994,0,-5.76642,-11.3332,0,52.7876,-22.0952,0,-6.34097
7.1,1.44837,-10.9704,0,52.8696,-21.4012,0,-5.73248,-11.3775,0,52.7749,-22.0487,0,-6.34426
7.102,1.4554,-11.0139,0,52.8578,-21.3075,0,-5.69995,-11.4217,0,52.7621,-21.9955,0,-6.36668
7.104,1.46242,-11.0572,0,52.846,-21.2176,0,-5.66846,-11.4658,0,52.7493,-21.9477,0,-6.36939
7.106,1.46942,-11.1004,0,52.8342,-21.132,0,-5.63824,-11.5098,0,52.7365,-21.893,0,-6.39036
7.108,1.47641,-11.1435,0,52.8225,-21.0547,0,-5.61029,-11.5537,0,52.7237,-21.8436,0,-6.39351
7.11,1.48338,-11.1865,0,52.8109,-20.9871,0,-5.58508,-11.5975,0,52.7108,-21.7877,0,-6.41204
7.112,1.49034,-11.2293,0,52.7992,-20.9294,0,-5.56262,-11.6412,0,52.698,-21.7362,0,-6.41647
7.114,1.49728,-11.2721,0,52.7876,-20.8812,0,-5.54297,-11.6847,0,52.6851,-21.6795,0,-6.43184
7.116,1.50421,-11.3148,0,52.7759,-20.842,0,-5.52576,-11.7282,0,52.6722,-21.6258,0,-6.43813
7.118,1.51112,-11.3574,0,52.7643,-20.8113,0,-5.51086,-11.7716,0,52.6592,-21.5684,0,-6.44989
7.12,1.51801,-11.4,0,52.7527,-20.7881,0,-5.49817,-11.8148,0,52.6463,-21.5123,0,-6.4583
7.122,1.52489,-11.4426,0,52.7411,-20.7714,0,-5.48724,-11.8579,0,52.6333,-21.4544,0,-6.46634
7.124,1.53176,-11.4852,0,52.7295,-20.7601,0,-5.47778,-11.9009,0,52.6203,-21.3959,0,-6.47679
7.126,1.5386,-11.5278,0,52.718,-20.7534,0,-5.46967,-11.9438,0,52.6073,-21.3375,0,-6.48133
7.128,1.54543,-11.5702,0,52.7064,-20.7515,0,-5.46283,-11.9866,0,52.5943,-21.2767,0,-6.49344
7.13,1.55224,-11.6126,0,52.6949,-20.7551,0,-5.4577,-12.0292,0,52.5812,-21.2176,0,-6.49497
7.132,1.55904,-11.6549,0,52.6834,-20.7696,0,-5.45593,-12.0717,0,52.5682,-21.1546,0,-6.50811
7.134,1.56582,-11.6971,0,52.672,-20.7882,0,-5.45538,-12.1141,0,52.5551,-21.0948,0,-6.50734
7.136,1.57258,-11.7393,0,52.6606,-20.81,0,-5.45581,-12.1564,0,52.5421,-21.0298,0,-6.52071
7.138,1.57932,-11.7834,0,52.6483,-20.8062,0,-5.46008,-12.1985,0,52.529,-20.969,0,-6.51849
7.14,1.58604,-11.8283,0,52.6346,-20.7274,0,-5.48328,-12.2406,0,52.5159,-20.9024,0,-6.5312
7.142,1.59275,-11.8725,0,52.621,-20.6366,0,-5.51331,-12.2824,0,52.5028,-20.8403,0,-6.52838
7.144,1.59943,-11.9165,0,52.6074,-20.5586,0,-5.54718,-12.3242,0,52.4897,-20.7723,0,-6.53959
7.146,1.6061,-11.9603,0,52.594,-20.4923,0,-5.58447,-12.3658,0,52.4765,-20.7086,0,-6.53696
7.148,1.61275,-12.004,0,52.5806,-20.4319,0,-5.62317,-12.4073,0,52.4634,-20.6396,0,-6.54594
7.15,1.61938,-12.0474,0,52.5673,-20.3786,0,-5.66357,-12.4487,0,52.4503,-20.574,0,-6.54412
7.152,1.62599,-12.0903,0,52.5541,-20.3317,0,-5.69952,-12.4899,0,52.4371,-20.5042,0,-6.55033
7.154,1.63257,-12.1302,0,52.5413,-20.288,0,-5.68134,-12.531,0,52.424,-20.4367,0,-6.54975
7.156,1.63914,-12.17,0,52.5285,-20.2516,0,-5.66547,-12.5719,0,52.4108,-20.3662,0,-6.55288
7.158,1.64569,-12.2096,0,52.5158,-20.2222,0,-5.65167,-12.6127,0,52.3977,-20.2966,0,-6.55368
7.16,1.65222,-12.2491,0,52.5031,-20.1997,0,-5.63989,-12.6534,0,52.3845,-20.2255,0,-6.55369
7.162,1.65872,-12.2885,0,52.4904,-20.1836,0,-5.63007,-12.6939,0,52.3714,-20.1538,0,-6.55579
7.164,1.66521,-12.3278,0,52.4778,-20.1732,0,-5.62195,-12.7343,0,52.3582,-20.0822,0,-6.55289
7.166,1.67167,-12.3671,0,52.4652,-20.1683,0,-5.6156,-12.7745,0,52.345,-20.0084,0,-6.55596
7.168,1.67812,-12.4063,0,52.4526,-20.1691,0,-5.61084,-12.8146,0,52.3319,-19.9362,0,-6.55055
7.17,1.68454,-12.4451,0,52.4399,-20.1724,0,-5.60553,-12.8545,0,52.3187,-19.8605,0,-6.55408
7.172,1.69094,-12.4836,0,52.4272,-20.177,0,-5.59918,-12.8943,0,52.3056,-19.7875,0,-6.54674
7.174,1.69731,-12.522,0,52.4145,-20.1827,0,-5.5932,-12.934,0,52.2925,-19.7101,0,-6.55009
7.176,1.70367,-12.5604,0,52.4018,-20.1885,0,-5.58716,-12.9734,0,52.2793,-19.6361,0,-6.54148
